A	A10
A	A_1_2_3_4_5_6_7_8_9_11_12
A4	C
A_1_2_3_4_5_6_7_8_9_11_12	A_1_3_4_5_6_7_9_11_12
A_1_2_3_4_5_6_7_8_9_11_12	A_2_8
A_1_3_4_5_6_7_9_11_12	A4
A_1_3_4_5_6_7_9_11_12	A_1_3_5_6_7_9_11_12
A_1_3_5_6_7_9_11_12	A_1_3_6
A_1_3_5_6_7_9_11_12	A_5_7_9_11_12
A_1_3_6	A3
A_1_3_6	A_1_6
A_1_6	A1
A_1_6	A6
A_2_8	A2
A_2_8	A8
A_5_11	A11
A_5_11	A5
A_5_7_9_11_12	A_5_11
A_5_7_9_11_12	A_7_9_12
A_7_12	A12
A_7_12	A7
A_7_9_12	A9
A_7_9_12	A_7_12
B	B4
B	B_1_2_3_5_6_7_8_9_10_11_12
B_1_10	B1
B_1_10	B10
B_1_2_3_5_6_7_8_9_10_11_12	B_1_2_6_7_10
B_1_2_3_5_6_7_8_9_10_11_12	B_3_5_8_9_11_12
B_1_2_6_7_10	B6
B_1_2_6_7_10	B_1_2_7_10
B_1_2_7_10	B2
B_1_2_7_10	B_1_7_10
B_1_7_10	B7
B_1_7_10	B_1_10
B_3_12	B12
B_3_12	B3
B_3_5_8_12	B5
B_3_5_8_12	B_3_8_12
B_3_5_8_9_11_12	B11
B_3_5_8_9_11_12	B_3_5_8_9_12
B_3_5_8_9_11_12	C
B_3_5_8_9_12	B9
B_3_5_8_9_12	B_3_5_8_12
B_3_8_12	B8
B_3_8_12	B_3_12
C	C5
C	C_1_2_3_4_6_7_8_9_10_11_12
C_1_2_3_4_6_7_8_9_10_11_12	C3
C_1_2_3_4_6_7_8_9_10_11_12	C_1_2_4_6_7_8_9_10_11_12
C_1_2_4_6_7_8_9_10_11_12	C2
C_1_2_4_6_7_8_9_10_11_12	C_1_4_6_7_8_9_10_11_12
C_1_4_6_7_8_9_10_11_12	C_1_6_7_12
C_1_4_6_7_8_9_10_11_12	C_4_8_9_10_11
C_1_6_7_12	C6
C_1_6_7_12	C_1_7_12
C_1_7_12	C1
C_1_7_12	C_7_12
C_4_8_9_10	C8
C_4_8_9_10	C_4_9_10
C_4_8_9_10_11	C11
C_4_8_9_10_11	C_4_8_9_10
C_4_9	C4
C_4_9	C9
C_4_9_10	C10
C_4_9_10	C_4_9
C_7_12	C12
C_7_12	C7
