A	A_1_4_7_10_14_16_17_24
A	A_2_3_5_6_8_9_11_12_13_15_18_19_20_21_22_23_25_26
A_11_15_18_20_21	A11
A_11_15_18_20_21	A_15_18_20_21
A_12_22_26	A12
A_12_22_26	A_22_26
A_15_18_20_21	A18
A_15_18_20_21	A_15_20_21
A_15_20_21	A20
A_15_20_21	A_15_21
A_15_21	A15
A_15_21	A21
A_19_23	A19
A_19_23	A23
A_1_4_14_24	A1
A_1_4_14_24	A_4_14_24
A_1_4_14_24	C
A_1_4_7_10_14_16_17_24	A_1_4_14_24
A_1_4_7_10_14_16_17_24	A_7_10_16_17
A_22_26	A22
A_22_26	A26
A_2_3_5_6_8_9_11_12_13_15_18_19_20_21_22_23_25_26	A_11_15_18_20_21
A_2_3_5_6_8_9_11_12_13_15_18_19_20_21_22_23_25_26	A_2_3_5_6_8_9_12_13_19_22_23_25_26
A_2_3_5_6_8_9_12_13_19_22_23_25_26	A_2_6_25
A_2_3_5_6_8_9_12_13_19_22_23_25_26	A_3_5_8_9_12_13_19_22_23_26
A_2_6_25	A2
A_2_6_25	A_6_25
A_3_5_8_9_12_13_19_22_23_26	A_3_8
A_3_5_8_9_12_13_19_22_23_26	A_5_9_12_13_19_22_23_26
A_3_8	A3
A_3_8	A8
A_4_14_24	A14
A_4_14_24	A_4_24
A_4_24	A24
A_4_24	A4
A_5_12_13_22_26	A_12_22_26
A_5_12_13_22_26	A_5_13
A_5_13	A13
A_5_13	A5
A_5_9_12_13_19_22_23_26	A_19_23
A_5_9_12_13_19_22_23_26	A_5_9_12_13_22_26
A_5_9_12_13_22_26	A9
A_5_9_12_13_22_26	A_5_12_13_22_26
A_6_25	A25
A_6_25	A6
A_7_10_16_17	A10
A_7_10_16_17	A_7_16_17
A_7_16_17	A16
A_7_16_17	A_7_17
A_7_17	A17
A_7_17	A7
B	B_1_3_5_7_8_11_13_14_15_17_18_20_21_25
B	B_2_4_6_9_10_12_16_19_22_23_24_26
B15	C
B_10_19	B10
B_10_19	B19
B_10_19_24	B24
B_10_19_24	B_10_19
B_11_20	B11
B_11_20	B20
B_16_22	B16
B_16_22	B22
B_16_22_23	B23
B_16_22_23	B_16_22
B_1_3_5_7_8_11_13_14_15_17_18_20_21_25	B_1_3_7_11_14_15_20
B_1_3_5_7_8_11_13_14_15_17_18_20_21_25	B_5_8_13_17_18_21_25
B_1_3_7_11_14_15_20	B_1_7_14
B_1_3_7_11_14_15_20	B_3_11_15_20
B_1_7_14	B1
B_1_7_14	B_7_14
B_21_25	B21
B_21_25	B25
B_2_4_6_9_10_12_16_19_22_23_24_26	B_10_19_24
B_2_4_6_9_10_12_16_19_22_23_24_26	B_2_4_6_9_12_16_22_23_26
B_2_4_6_9_12_16_22_23_26	B_2_6_9_12_16_22_23
B_2_4_6_9_12_16_22_23_26	B_4_26
B_2_6_9_12_16_22_23	B_2_9_12
B_2_6_9_12_16_22_23	B_6_16_22_23
B_2_9	B2
B_2_9	B9
B_2_9_12	B12
B_2_9_12	B_2_9
B_3_11_15_20	B15
B_3_11_15_20	B_3_11_20
B_3_11_20	B3
B_3_11_20	B_11_20
B_4_26	B26
B_4_26	B4
B_5_13	B13
B_5_13	B5
B_5_13_18	B18
B_5_13_18	B_5_13
B_5_13_18_21_25	B_21_25
B_5_13_18_21_25	B_5_13_18
B_5_8_13_17_18_21_25	B17
B_5_8_13_17_18_21_25	B_5_8_13_18_21_25
B_5_8_13_18_21_25	B8
B_5_8_13_18_21_25	B_5_13_18_21_25
B_6_16_22_23	B6
B_6_16_22_23	B_16_22_23
B_7_14	B14
B_7_14	B7
C	C_1_2_4_6_8_10_11_12_14_16_17_18_23_24_25_26
C	C_3_5_7_9_13_15_19_20_21_22
C_10_16	C10
C_10_16	C16
C_11_18_25	C11
C_11_18_25	C_18_25
C_15_22	C15
C_15_22	C22
C_18_25	C18
C_18_25	C25
C_1_11_18_24_25	C_11_18_25
C_1_11_18_24_25	C_1_24
C_1_24	C1
C_1_24	C24
C_1_2_10_11_16_17_18_24_25	C_1_11_18_24_25
C_1_2_10_11_16_17_18_24_25	C_2_10_16_17
C_1_2_4_6_8_10_11_12_14_16_17_18_23_24_25_26	C12
C_1_2_4_6_8_10_11_12_14_16_17_18_23_24_25_26	C_1_2_4_6_8_10_11_14_16_17_18_23_24_25_26
C_1_2_4_6_8_10_11_14_16_17_18_23_24_25_26	C_1_2_10_11_16_17_18_24_25
C_1_2_4_6_8_10_11_14_16_17_18_23_24_25_26	C_4_6_8_14_23_26
C_2_10_16	C2
C_2_10_16	C_10_16
C_2_10_16_17	C17
C_2_10_16_17	C_2_10_16
C_3_5_7_9_13_15_19_20_21_22	C_3_7_9_13_19_20_21
C_3_5_7_9_13_15_19_20_21_22	C_5_15_22
C_3_7_9_13_19_20_21	C_3_9
C_3_7_9_13_19_20_21	C_7_13_19_20_21
C_3_9	C3
C_3_9	C9
C_4_6_8_14_23_26	C4
C_4_6_8_14_23_26	C_6_8_14_23_26
C_5_15_22	C5
C_5_15_22	C_15_22
C_6_26	C26
C_6_26	C6
C_6_8_14_23_26	C23
C_6_8_14_23_26	C_6_8_14_26
C_6_8_14_26	C_6_26
C_6_8_14_26	C_8_14
C_7_13	C13
C_7_13	C7
C_7_13_19_20_21	C19
C_7_13_19_20_21	C_7_13_20_21
C_7_13_20	C20
C_7_13_20	C_7_13
C_7_13_20_21	C21
C_7_13_20_21	C_7_13_20
C_8_14	C14
C_8_14	C8
